,Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,data
488,1731011837.6509328,4600155,1731011837,650236357,,-0.0469358185020697,0.033003545122869,0.0328568576549754,-8.016970621902028e-06,-1.5442493119242138e-05,0.9030817156554994,0.4294687585214753,begin_weld
489,1731011837.71122,4600156,1731011837,710233672,,-0.0461877235911271,0.0329292938654396,0.0328690003958858,-6.907862568355436e-05,-0.000148143287735,0.9030681530823372,0.4294972458237258,begin_weld
490,1731011837.770981,4600157,1731011837,770233875,,-0.0457414062905075,0.0327509341973777,0.0328922308034205,-9.730817707737376e-05,-9.713649606250235e-05,0.9030282978827774,0.4295810451108774,begin_weld
491,1731011837.83102,4600158,1731011837,830234227,,-0.0453317273206375,0.0325233977372828,0.0329227158174187,-0.0001214529698986,3.4621000641302365e-06,0.902976010923333,0.4296909458368591,begin_weld
492,1731011837.890117,4600159,1731011837,889245309,,-0.0448163082910887,0.0324575479550935,0.0329328259263382,-0.00015985729462,-6.296671820721636e-05,0.902976100231906,0.4296907409879999,begin_weld
493,1731011837.950574,4600160,1731011837,949259669,,-0.0443483815935536,0.0323218929719557,0.032951856576731,-0.0001904285971204,-5.783210985630614e-05,0.9029538194611968,0.4297375481765969,begin_weld
494,1731011838.0113678,4600161,1731011838,10231826,,-0.0438391909031127,0.0322369923733773,0.0329598535127658,-0.0002177864491563,-0.000104155076049,0.9029528509638844,0.4297395614287515,begin_weld
495,1731011838.0708115,4600162,1731011838,70236770,,-0.0434759959085375,0.0322358493260248,0.0328506773344093,7.066913389671678e-06,-3.3864299043847505e-05,0.903047598973951,0.4295404902807768,begin_weld
496,1731011838.1310794,4600163,1731011838,130232134,,-0.0430317071659151,0.0320552864141003,0.0328680201450585,-1.9243904964653272e-05,8.514065553363807e-06,0.9030190097889296,0.4296005906851198,begin_weld
497,1731011838.1908865,4600164,1731011838,190234446,,-0.0425393362353137,0.0319391257945697,0.0328821143812562,-4.8934665762112726e-05,-7.146326585691116e-06,0.9030187493075776,0.429601135884563,begin_weld
498,1731011838.2511957,4600165,1731011838,250237478,,-0.0420922385673594,0.0318111280042261,0.0328794287948337,-3.664945263278245e-05,5.311909072443933e-06,0.9030146483721044,0.4296097571680671,begin_weld
499,1731011838.31083,4600166,1731011838,310233049,,-0.0416544155267253,0.0317508270418847,0.0328343618715638,4.991124281371625e-05,9.948653867552391e-06,0.9030576425310736,0.4295193728763721,begin_weld
500,1731011838.3717637,4600167,1731011838,370235365,,-0.0411827211086124,0.0315939688063545,0.0328510851642158,1.5663249694844447e-05,3.934598816352129e-06,0.9030419522162804,0.4295523626714103,begin_weld
501,1731011838.430067,4600168,1731011838,429248524,,-0.0407107543317431,0.0314451668621514,0.0328686529892223,-2.090094155805805e-05,-1.259495222875789e-05,0.9030312297694788,0.4295749032072763,begin_weld
502,1731011838.4910023,4600169,1731011838,490232270,,-0.0402346713358898,0.0312736289819402,0.0328818596479021,-4.3846971193183234e-05,-2.163609482748512e-06,0.903020282111997,0.4295979145283776,begin_weld
503,1731011838.5509112,4600170,1731011838,550239218,,-0.0398255352139977,0.0311222500489518,0.0328629986002007,-1.722722777755948e-06,3.722534381145232e-05,0.9030224642367318,0.4295933282711993,begin_weld
504,1731011838.6110537,4600171,1731011838,610233640,,-0.0393276561998041,0.0310033709123132,0.0328697319150732,-2.2553996975705214e-05,2.782039969375682e-06,0.9030323856390644,0.4295724734786875,begin_weld
505,1731011838.671085,4600172,1731011838,670233957,,-0.0389112521069066,0.030841723387643,0.0328581509500368,8.629141767660665e-06,1.9420733147222965e-05,0.9030233293729564,0.4295915108059677,begin_weld
506,1731011838.7311988,4600173,1731011838,730233706,,-0.0384261428059137,0.0307165575060311,0.0328534411956739,5.058445842666758e-06,-1.2760450879076552e-05,0.9030422293345436,0.4295517801733343,begin_weld
507,1731011838.7908592,4600174,1731011838,790234286,,-0.0379860595993559,0.03052194738336,0.0328632778732418,-1.182546430685474e-05,-9.073293294100762e-06,0.9030213738328046,0.4295956216943418,begin_weld
508,1731011838.8520577,4600175,1731011838,850243222,,-0.0375456939720747,0.0303608524355992,0.032855681780297,7.741543838560845e-06,4.83057899218013e-06,0.9030295111396764,0.429578516603858,begin_weld
509,1731011838.9102216,4600176,1731011838,909256706,,-0.0371050086214618,0.0301940583013047,0.032856934354775,9.31533756659372e-06,1.266971496967262e-05,0.9030309550501464,0.4295754811135327,begin_weld
510,1731011838.9710505,4600177,1731011838,970231612,,-0.0366229958582667,0.0300294826336759,0.0328692321802149,-2.2502921239685853e-05,-1.6902176670580375e-05,0.9030254718228612,0.4295870068414943,begin_weld
511,1731011839.0300858,4600178,1731011839,29249681,,-0.0361902626378522,0.0298481898530366,0.0328683535253468,-1.1965052384642546e-05,7.878185705364819e-06,0.903026425860295,0.4295850020575123,begin_weld
512,1731011839.0910182,4600179,1731011839,90232346,,-0.0357454886603904,0.0296933730727678,0.032854083747915,1.053495140982567e-05,-7.810357602104082e-06,0.903039380738986,0.4295577687140131,begin_weld
513,1731011839.151034,4600180,1731011839,150236411,,-0.0352919683009211,0.0294793146232394,0.0328663949194615,-1.209350101195374e-05,8.767359648494082e-06,0.9030357423732314,0.4295654173386256,begin_weld
514,1731011839.2113795,4600181,1731011839,210246694,,-0.034858681503209,0.0293029263817212,0.0328611770294226,-3.2030187999019243e-06,9.268812824600304e-07,0.9030376438464888,0.429561420270796,begin_weld
